Sample ID,Taxon,rpkm
SRR6834186,Sphaerotilus_natans,805704.956499
SRR6834186,Azorhizobium_caulinodans_ORS_571,49473.11136397
SRR6834186,Herbaspirillum_rubrisubalbicans,37693.79913446
SRR6834186,Salipiger_pentaromativorans,115437.25984927
SRR6834186,Pseudomonas_stutzeri_DSM_4166,28270.34935084
SRR6834186,Roseateles_caseinilyticus,40049.66158036
SRR6834186,unclassified,77743.46071482
