Taxon,SRR6834172,SRR6834173,SRR6834174,SRR6834175,SRR6834176,SRR6834177,SRR6834178,SRR6834179,SRR6834180,SRR6834181,SRR6834182,SRR6834183,SRR6834184,SRR6834185,SRR6834186,SRR6834187,SRR6834188,SRR6834189
Alphaproteobacteria,452.0,145.0,380.0,314.0,29.0,330.0,244.0,273.0,156.0,154.0,309.0,250.0,472.0,386.0,82.0,239.0,375.0,237.0
Betaproteobacteria,14.0,312.0,76.0,73.0,0.0,154.0,225.0,157.0,318.0,0.0,138.0,0.0,0.0,98.0,365.0,243.0,14.0,233.0
Chlorobia,0.0,0.0,0.0,0.0,0.0,0.0,17.0,46.0,12.0,0.0,38.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
Clostridia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0
Cyanobacteriia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyanophyceae,0.0,0.0,0.0,54.0,435.0,0.0,0.0,0.0,0.0,244.0,0.0,169.0,0.0,0.0,0.0,0.0,16.0,0.0
Gammaproteobacteria,14.0,23.0,21.0,44.0,14.0,0.0,0.0,0.0,0.0,70.0,0.0,17.0,0.0,0.0,37.0,0.0,60.0,0.0
unclassified,3.0,4.0,0.0,0.0,11.0,2.0,4.0,7.0,0.0,10.0,5.0,12.0,3.0,3.0,6.0,4.0,0.0,3.0
