Taxon,SRR6834172,SRR6834173,SRR6834174,SRR6834175,SRR6834176,SRR6834177,SRR6834178,SRR6834179,SRR6834180,SRR6834181,SRR6834182,SRR6834183,SRR6834184,SRR6834185,SRR6834186,SRR6834187,SRR6834188,SRR6834189
Alphaproteobacteria,1082414.35875331,342991.50090715,913762.46504257,744269.83336889,68181.71131393,785400.12566402,577171.9049748,648411.39208938,369764.63059091,362068.39801192,726487.88951741,584225.44558875,1125666.87415187,914930.43210316,193180.72056409,565344.61184007,888857.28507431,571081.58514899
Betaproteobacteria,33526.10845696,738023.09160712,182752.49300851,173030.8848278,0.0,366520.05864321,532228.19106282,372895.928784,753750.97774301,0.0,324450.90211457,0.0,0.0,232288.03716609,859889.79275478,574806.44634785,33184.00530944,561443.07738276
Chlorobia,0.0,0.0,0.0,0.0,0.0,0.0,40212.79665808,109256.13200041,28443.43312238,0.0,89341.55275619,95812.97307655,0.0,0.0,0.0,0.0,0.0,0.0
Clostridia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40294.86359004,0.0
Cyanobacteriia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23510.93493584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyanophyceae,0.0,0.0,0.0,127995.4490507,1022725.66970898,0.0,0.0,0.0,0.0,573666.81243446,0.0,394936.40121799,0.0,0.0,0.0,0.0,37924.5774965,0.0
Gammaproteobacteria,33526.10845696,54405.54841976,50497.39938393,104292.58811539,32915.30891017,0.0,0.0,0.0,0.0,164576.54455087,0.0,39727.33030003,0.0,0.0,87166.91049843,0.0,142217.16561189,0.0
unclassified,7184.16609792,9461.83450778,0.0,0.0,25862.02842942,4760.0007616,9461.83450778,16625.9331305,0.0,23510.93493584,11755.46746792,28042.82138826,7154.66233571,7110.85828059,14135.17467542,9461.83450778,0.0,7228.88082467
