Taxon,SRR6834172,SRR6834173,SRR6834174,SRR6834175,SRR6834176,SRR6834177,SRR6834178,SRR6834179,SRR6834180,SRR6834181,SRR6834182,SRR6834183,SRR6834184,SRR6834185,SRR6834186,SRR6834187,SRR6834188,SRR6834189
Chlorobi,0.0,0.0,0.0,0.0,0.0,0.0,40212.79665808,109256.13200041,28443.43312238,0.0,89341.55275619,95812.97307655,0.0,0.0,0.0,0.0,0.0,0.0
Cyanobacteriota,0.0,0.0,0.0,127995.4490507,1022725.66970898,0.0,0.0,0.0,0.0,594826.65387672,0.0,411294.71369448,0.0,0.0,0.0,0.0,37924.5774965,0.0
Firmicutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40294.86359004,0.0
Proteobacteria,0.0,674155.70867958,189966.40720622,203844.60404371,23510.93493584,354620.05673921,231814.9454407,515403.92704541,820118.9883619,263322.47128139,413792.45487076,65433.24990594,0.0,0.0,918786.35390237,676521.16730652,206214.89013724,549394.94267498
Pseudomonadota,1127914.07737347,461264.43225445,957045.9502288,817748.70226836,82288.27227544,802060.12832962,884681.52647776,508278.52713234,303396.61997203,282131.21923006,639497.43025481,563193.32954755,1128051.76159711,1135367.03880158,223806.93236083,468360.80813529,858043.5658584,590358.60068144
unclassified,28736.66439168,9461.83450778,0.0,0.0,21159.84144225,0.0,2365.45862695,14250.79982614,0.0,7053.28048075,9404.37397434,7010.70534706,4769.77489047,18962.28874825,11779.31222952,4730.91725389,0.0,0.0
