Taxon,SRR6834172,SRR6834173,SRR6834174,SRR6834175,SRR6834176,SRR6834177,SRR6834178,SRR6834179,SRR6834180,SRR6834181,SRR6834182,SRR6834183,SRR6834184,SRR6834185,SRR6834186,SRR6834187,SRR6834188,SRR6834189
Chlorobi,0.0,0.0,0.0,0.0,0.0,0.0,17.0,46.0,12.0,0.0,38.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyanobacteriota,0.0,0.0,0.0,54.0,435.0,0.0,0.0,0.0,0.0,253.0,0.0,176.0,0.0,0.0,0.0,0.0,16.0,0.0
Firmicutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0
Proteobacteria,0.0,285.0,79.0,86.0,10.0,149.0,98.0,217.0,346.0,112.0,176.0,28.0,0.0,0.0,390.0,286.0,87.0,228.0
Pseudomonadota,471.0,195.0,398.0,345.0,35.0,337.0,374.0,214.0,128.0,120.0,272.0,241.0,473.0,479.0,95.0,198.0,362.0,245.0
unclassified,12.0,4.0,0.0,0.0,9.0,0.0,1.0,6.0,0.0,3.0,4.0,3.0,2.0,8.0,5.0,2.0,0.0,0.0
