richness	SRR6834172	SRR6834173	SRR6834174	SRR6834175	SRR6834176	SRR6834177	SRR6834178	SRR6834179	SRR6834180	SRR6834181	SRR6834182	SRR6834183	SRR6834184	SRR6834185	SRR6834186	SRR6834187	SRR6834188	SRR6834189
42	4.00	6.00	6.00	7.00	4.00	5.00	6.00	8.00	7.00	5.00	5.00	6.00	2.00	4.00	5.00	5.00	7.00	4.00
43	4.00	6.00	6.00	7.00	4.00	5.00	6.00	8.00	7.00	6.00	5.00	6.00	2.00	4.00	5.00	5.00	7.00	4.00
44	4.00	6.00	6.00	7.00	4.00	5.00	6.00	8.00	7.00	6.00	5.00	7.00	2.00	4.00	5.00	5.00	7.00	4.00
45	4.00	6.00	6.00	7.00	4.00	5.00	7.00	8.00	7.00	5.00	5.00	7.00	2.00	4.00	5.00	5.00	7.00	4.00
46	4.00	6.00	6.00	7.00	4.00	5.00	6.00	8.00	7.00	5.00	5.00	7.00	2.00	4.00	5.00	5.00	7.00	4.00
47	4.00	6.00	6.00	7.00	4.00	5.00	6.00	8.00	7.00	5.00	6.00	6.00	3.00	4.00	5.00	5.00	7.00	4.00
48	4.00	6.00	6.00	7.00	4.00	5.00	7.00	8.00	7.00	5.00	5.00	7.00	2.00	4.00	6.00	5.00	7.00	4.00
49	4.00	6.00	6.00	7.00	4.00	5.00	7.00	8.00	7.00	6.00	6.00	7.00	2.00	4.00	5.00	5.00	7.00	4.00
50	4.00	6.00	6.00	7.00	4.00	5.00	7.00	8.00	7.00	5.00	5.00	6.00	2.00	4.00	5.00	5.00	7.00	4.00
51	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	6.00	2.00	4.00	6.00	5.00	7.00	4.00
52	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	5.00	5.00	7.00	3.00	4.00	5.00	5.00	7.00	4.00
53	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
54	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	5.00	7.00	2.00	4.00	6.00	5.00	7.00	4.00
55	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	6.00	3.00	4.00	6.00	5.00	7.00	4.00
56	4.00	6.00	6.00	7.00	4.00	6.00	6.00	8.00	7.00	6.00	6.00	7.00	2.00	4.00	5.00	5.00	7.00	4.00
57	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	6.00	2.00	4.00	6.00	5.00	7.00	4.00
58	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
59	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	5.00	5.00	7.00	4.00
